VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
10,0.27,0.27,0.30,0.32,0.36,0.37,0.41,0.42,0.45,0.46,0.46,10.00,9.69,8.78,7.49,6.20,5.05,4.02,3.03,2.15,1.51,1.52
20,0.19,0.19,0.22,0.27,0.31,0.34,0.37,0.40,0.43,0.46,0.46,20.00,19.71,17.86,14.80,12.15,10.01,8.00,6.01,4.14,2.84,2.58
30,0.14,0.14,0.17,0.22,0.27,0.30,0.34,0.37,0.42,0.45,0.46,30.00,29.77,27.05,21.97,18.10,15.00,12.00,9.00,6.11,4.13,3.77
40,0.10,0.10,0.13,0.19,0.24,0.28,0.32,0.36,0.41,0.44,0.45,40.00,39.85,36.33,29.04,24.05,20.00,16.00,12.00,8.09,5.40,5.01
50,0.08,0.08,0.11,0.16,0.21,0.25,0.30,0.35,0.40,0.44,0.45,50.00,49.89,45.65,36.06,30.03,25.00,20.00,15.00,10.07,6.65,6.26
60,0.06,0.06,0.08,0.15,0.19,0.24,0.28,0.33,0.39,0.43,0.44,60.00,59.93,55.06,43.04,36.02,30.00,24.00,18.00,12.06,7.92,7.51
70,0.05,0.05,0.07,0.13,0.18,0.22,0.27,0.32,0.39,0.43,0.43,70.00,69.95,64.47,49.99,42.01,35.00,28.00,21.00,14.05,9.17,8.76
80,0.04,0.04,0.06,0.12,0.16,0.20,0.25,0.31,0.38,0.42,0.43,80.00,79.97,73.97,56.94,48.00,40.00,32.00,24.00,16.04,10.41,10.01
90,0.03,0.03,0.05,0.10,0.14,0.18,0.24,0.30,0.37,0.42,0.42,90.00,89.98,83.45,63.86,54.00,45.00,36.00,27.00,18.03,11.66,11.27
100,0.02,0.02,0.04,0.09,0.13,0.18,0.23,0.29,0.36,0.42,0.42,100.00,99.99,93.03,70.77,60.00,50.00,40.00,30.00,20.02,12.90,12.52
110,0.02,0.02,0.03,0.08,0.12,0.16,0.22,0.28,0.36,0.41,0.42,110.00,109.99,102.57,77.72,66.00,55.00,44.00,33.00,22.02,14.15,13.78
120,0.01,0.01,0.03,0.07,0.11,0.16,0.21,0.27,0.35,0.41,0.41,120.00,119.99,112.14,84.64,72.00,60.00,48.00,36.00,24.01,15.41,15.03
130,0.01,0.01,0.02,0.06,0.10,0.14,0.20,0.26,0.34,0.41,0.41,130.00,130.00,121.56,91.60,78.00,65.00,52.00,39.00,26.01,16.64,16.27
140,0.01,0.01,0.02,0.06,0.09,0.14,0.19,0.26,0.34,0.40,0.40,140.00,140.00,131.55,98.55,84.00,70.00,56.00,42.00,28.01,17.89,17.53
150,0.01,0.01,0.02,0.05,0.08,0.13,0.18,0.25,0.33,0.40,0.40,150.00,150.00,141.26,105.46,90.00,75.00,60.00,45.00,30.01,19.12,18.78
160,0.00,0.01,0.01,0.05,0.08,0.12,0.18,0.24,0.33,0.39,0.40,160.00,160.00,150.69,112.46,96.00,80.00,64.00,48.00,32.01,20.36,20.03
170,0.00,0.00,0.01,0.04,0.07,0.11,0.17,0.24,0.32,0.39,0.40,170.00,170.00,160.40,119.35,102.00,85.00,68.00,51.00,34.00,21.61,21.29
180,0.00,0.00,0.01,0.04,0.07,0.11,0.16,0.23,0.32,0.39,0.39,180.00,180.00,170.19,126.31,108.00,90.00,72.00,54.00,36.00,22.87,22.54
190,0.00,0.00,0.01,0.03,0.06,0.10,0.15,0.22,0.31,0.39,0.39,190.00,190.00,179.91,133.25,114.00,95.00,76.00,57.00,38.00,24.10,23.78
200,0.00,0.00,0.00,0.03,0.06,0.10,0.15,0.22,0.31,0.38,0.39,200.00,200.00,189.02,140.25,120.00,100.00,80.00,60.00,40.00,25.35,25.05
210,0.00,0.00,0.00,0.03,0.05,0.09,0.14,0.21,0.30,0.38,0.38,210.00,210.00,198.52,147.19,126.00,105.00,84.00,63.00,42.00,26.59,26.29
220,0.00,0.00,0.01,0.03,0.05,0.08,0.14,0.21,0.30,0.38,0.38,220.00,220.00,209.06,154.18,132.00,110.00,88.00,66.00,44.00,27.82,27.55
230,0.00,0.00,0.00,0.02,0.05,0.08,0.13,0.20,0.29,0.38,0.38,230.00,230.00,218.98,161.17,138.00,115.00,92.00,69.00,46.00,29.07,28.81
240,0.00,0.00,0.00,0.02,0.04,0.07,0.13,0.20,0.29,0.37,0.37,240.00,240.00,228.18,168.13,144.00,120.00,96.00,72.00,48.00,30.32,30.05
250,0.00,0.00,0.00,0.02,0.04,0.07,0.12,0.19,0.29,0.37,0.37,250.00,250.00,238.21,175.12,150.00,125.00,100.00,75.00,50.00,31.57,31.29
260,0.00,0.00,0.00,0.02,0.04,0.07,0.12,0.19,0.28,0.37,0.37,260.00,260.00,248.63,182.12,156.00,130.00,104.00,78.00,52.00,32.81,32.56
270,0.00,0.00,0.00,0.02,0.03,0.06,0.11,0.18,0.28,0.37,0.37,270.00,270.00,258.71,189.09,162.00,135.00,108.00,81.00,54.00,34.06,33.80
280,0.00,0.00,0.00,0.01,0.03,0.06,0.11,0.18,0.28,0.36,0.37,280.00,280.00,268.11,196.05,168.00,140.00,112.00,84.00,56.00,35.29,35.06
290,0.00,0.00,0.00,0.01,0.03,0.06,0.10,0.17,0.28,0.36,0.36,290.00,290.00,277.91,203.03,174.00,145.00,116.00,87.00,58.00,36.53,36.31
300,0.00,0.00,0.00,0.01,0.03,0.05,0.10,0.17,0.27,0.36,0.36,300.00,300.00,287.58,210.04,180.00,150.00,120.00,90.00,60.00,37.78,37.55
310,0.00,0.00,0.00,0.01,0.03,0.05,0.10,0.17,0.27,0.36,0.36,310.00,310.00,298.38,217.05,186.00,155.00,124.00,93.00,62.00,39.03,38.82
320,0.00,0.00,0.00,0.01,0.02,0.05,0.10,0.16,0.26,0.36,0.36,320.00,320.00,307.63,224.04,192.00,160.00,128.00,96.00,64.00,40.25,40.07
330,0.00,0.00,0.00,0.01,0.02,0.05,0.09,0.16,0.26,0.35,0.36,330.00,330.00,318.14,231.08,198.00,165.00,132.00,99.00,66.00,41.51,41.29
340,0.00,0.00,0.00,0.01,0.02,0.04,0.09,0.16,0.26,0.35,0.35,340.00,340.00,326.85,238.08,204.00,170.00,136.00,102.00,68.00,42.74,42.58
350,0.00,0.00,0.00,0.01,0.02,0.04,0.08,0.15,0.25,0.35,0.35,350.00,350.00,339.61,245.02,210.00,175.00,140.00,105.00,70.00,44.02,43.83
360,0.00,0.00,0.00,0.01,0.02,0.04,0.08,0.15,0.25,0.35,0.35,360.00,360.00,347.11,252.05,216.00,180.00,144.00,108.00,72.00,45.26,45.08
370,0.00,0.00,0.00,0.00,0.02,0.04,0.08,0.15,0.25,0.35,0.35,370.00,370.00,355.55,259.05,222.00,185.00,148.00,111.00,74.00,46.49,46.30
380,0.00,0.00,0.00,0.00,0.01,0.04,0.08,0.14,0.24,0.34,0.35,380.00,380.00,366.94,266.06,228.00,190.00,152.00,114.00,76.00,47.76,47.59
390,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.14,0.24,0.34,0.34,390.00,390.00,376.59,273.04,234.00,195.00,156.00,117.00,78.00,49.00,48.82
400,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.14,0.24,0.34,0.34,400.00,400.00,387.50,280.00,240.00,200.00,160.00,120.00,80.00,50.22,50.07
410,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.13,0.24,0.34,0.34,410.00,410.00,396.07,287.03,246.00,205.00,164.00,123.00,82.00,51.47,51.34
420,0.00,0.00,0.00,0.00,0.01,0.03,0.07,0.13,0.23,0.34,0.34,420.00,420.00,407.26,294.00,252.00,210.00,168.00,126.00,84.00,52.72,52.59
430,0.00,0.00,0.00,0.00,0.01,0.03,0.06,0.13,0.23,0.34,0.34,430.00,430.00,417.91,301.00,258.00,215.00,172.00,129.00,86.00,53.98,53.83
440,0.00,0.00,0.00,0.00,0.01,0.03,0.06,0.13,0.23,0.33,0.33,440.00,440.00,426.08,308.00,264.00,220.00,176.00,132.00,88.00,55.25,55.10
450,0.00,0.00,0.00,0.00,0.01,0.03,0.06,0.12,0.23,0.33,0.33,450.00,450.00,437.17,315.03,270.00,225.00,180.00,135.00,90.00,56.49,56.36
460,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.12,0.22,0.33,0.33,460.00,460.00,447.06,322.00,276.00,230.00,184.00,138.00,92.00,57.72,57.59
470,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.12,0.22,0.33,0.33,470.00,470.00,456.23,329.00,282.00,235.00,188.00,141.00,94.00,58.95,58.83
480,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.12,0.22,0.33,0.33,480.00,480.00,468.38,336.00,288.00,240.00,192.00,144.00,96.00,60.20,60.08
490,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.11,0.22,0.32,0.32,490.00,490.00,477.75,343.00,294.00,245.00,196.00,147.00,98.00,61.47,61.33
500,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.11,0.22,0.32,0.32,500.00,500.00,486.91,350.00,300.00,250.00,200.00,150.00,100.00,62.72,62.57
510,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.11,0.21,0.32,0.32,510.00,510.00,497.85,357.00,306.00,255.00,204.00,153.00,102.00,63.96,63.87
520,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.11,0.21,0.32,0.32,520.00,520.00,506.80,364.00,312.00,260.00,208.00,156.00,104.00,65.19,65.08
530,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.10,0.21,0.32,0.32,530.00,530.00,519.44,371.00,318.00,265.00,212.00,159.00,106.00,66.45,66.34
540,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.10,0.20,0.32,0.32,540.00,540.00,526.71,378.00,324.00,270.00,216.00,162.00,108.00,67.70,67.60
550,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.10,0.20,0.31,0.32,550.00,550.00,537.75,385.00,330.00,275.00,220.00,165.00,110.00,68.92,68.85
560,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.10,0.20,0.31,0.31,560.00,560.00,546.88,392.00,336.00,280.00,224.00,168.00,112.00,70.19,70.13
570,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.09,0.20,0.31,0.31,570.00,570.00,554.86,399.00,342.00,285.00,228.00,171.00,114.00,71.44,71.35
580,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.09,0.20,0.31,0.31,580.00,580.00,565.27,406.00,348.00,290.00,232.00,174.00,116.00,72.70,72.60
590,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.09,0.19,0.31,0.31,590.00,590.00,573.87,413.00,354.00,295.00,236.00,177.00,118.00,73.96,73.87
600,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.09,0.19,0.31,0.31,600.00,600.00,587.81,420.00,360.00,300.00,240.00,180.00,120.00,75.18,75.12
610,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.09,0.19,0.31,0.31,610.00,610.00,599.99,427.00,366.00,305.00,244.00,183.00,122.00,76.44,76.34
