VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,310.00,307.09,248.00,217.00,186.00,155.00,124.00,93.00,69.53,68.57,68.82
320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,320.00,317.19,256.00,224.00,192.00,160.00,128.00,96.00,71.63,70.89,71.11
330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,1.00,330.00,327.04,264.00,231.00,198.00,165.00,132.00,99.00,73.78,73.26,73.12
340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,340.00,337.34,272.00,238.00,204.00,170.00,136.00,102.00,75.69,75.06,75.36
350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,350.00,346.58,280.00,245.00,210.00,175.00,140.00,105.00,78.21,77.81,77.53
360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,360.00,357.54,288.00,252.00,216.00,180.00,144.00,108.00,80.74,79.73,79.77
370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,370.00,366.39,296.00,259.00,222.00,185.00,148.00,111.00,82.86,81.87,82.05
380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,380.00,377.77,304.00,266.00,228.00,190.00,152.00,114.00,84.89,84.13,84.18
390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,390.00,387.94,312.00,273.00,234.00,195.00,156.00,117.00,87.14,86.29,86.46
400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,400.00,397.50,320.00,280.00,240.00,200.00,160.00,120.00,89.24,88.34,88.44
410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,410.00,407.60,328.00,287.00,246.00,205.00,164.00,123.00,91.47,91.05,90.99
420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,420.00,416.72,336.00,294.00,252.00,210.00,168.00,126.00,94.29,93.13,93.72
430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,430.00,427.73,344.00,301.00,258.00,215.00,172.00,129.00,96.07,95.21,95.75
440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,440.00,437.68,352.00,308.00,264.00,220.00,176.00,132.00,98.71,96.99,97.71
450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,450.00,447.54,360.00,315.00,270.00,225.00,180.00,135.00,100.20,99.27,99.53
460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,460.00,457.39,368.00,322.00,276.00,230.00,184.00,138.00,102.55,102.30,101.60
470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,470.00,467.25,376.00,329.00,282.00,235.00,188.00,141.00,104.49,104.78,104.63
480,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,480.00,478.31,384.00,336.00,288.00,240.00,192.00,144.00,106.89,106.28,106.91
490,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,490.00,486.65,392.00,343.00,294.00,245.00,196.00,147.00,108.66,108.56,108.70
500,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,500.00,498.05,400.00,350.00,300.00,250.00,200.00,150.00,111.65,109.89,111.21
510,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,510.00,507.51,408.00,357.00,306.00,255.00,204.00,153.00,113.58,113.04,113.80
520,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,520.00,517.16,416.00,364.00,312.00,260.00,208.00,156.00,115.01,115.36,114.56
530,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,530.00,527.21,424.00,371.00,318.00,265.00,212.00,159.00,118.30,117.46,117.21
540,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,540.00,538.00,432.00,378.00,324.00,270.00,216.00,162.00,119.60,119.19,119.99
550,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,550.00,548.07,440.00,385.00,330.00,275.00,220.00,165.00,122.16,121.76,122.36
560,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,560.00,557.92,448.00,392.00,336.00,280.00,224.00,168.00,124.94,124.55,123.68
570,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,570.00,567.33,456.00,399.00,342.00,285.00,228.00,171.00,126.44,126.71,125.14
580,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,580.00,578.64,464.00,406.00,348.00,290.00,232.00,174.00,128.90,128.68,128.82
590,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,590.00,587.23,472.00,413.00,354.00,295.00,236.00,177.00,131.24,130.93,131.83
600,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,600.00,598.13,480.00,420.00,360.00,300.00,240.00,180.00,133.14,133.14,132.21
610,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,610.00,608.45,488.00,427.00,366.00,305.00,244.00,183.00,135.68,135.57,134.64
620,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,620.00,618.67,496.00,434.00,372.00,310.00,248.00,186.00,138.43,137.24,137.18
630,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,630.00,627.54,504.00,441.00,378.00,315.00,252.00,189.00,140.91,139.58,139.10
640,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,640.00,637.50,512.00,448.00,384.00,320.00,256.00,192.00,141.99,141.13,142.34
650,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,650.00,647.59,520.00,455.00,390.00,325.00,260.00,195.00,143.94,143.73,143.78
660,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,660.00,658.20,528.00,462.00,396.00,330.00,264.00,198.00,146.68,146.45,146.13
670,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,670.00,667.91,536.00,469.00,402.00,335.00,268.00,201.00,148.69,149.20,147.68
680,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,680.00,677.34,544.00,476.00,408.00,340.00,272.00,204.00,150.63,151.37,149.44
690,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,690.00,688.38,552.00,483.00,414.00,345.00,276.00,207.00,152.85,152.55,153.04
700,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,700.00,697.95,560.00,490.00,420.00,350.00,280.00,210.00,154.86,155.41,154.81
710,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,710.00,708.61,568.00,497.00,426.00,355.00,284.00,213.00,158.43,157.60,158.05
720,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,720.00,718.17,576.00,504.00,432.00,360.00,288.00,216.00,159.54,160.41,159.90
730,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,730.00,728.72,584.00,511.00,438.00,365.00,292.00,219.00,162.13,162.47,162.05
740,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,740.00,739.13,592.00,518.00,444.00,370.00,296.00,222.00,165.40,164.74,164.00
750,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,750.00,747.66,600.00,525.00,450.00,375.00,300.00,225.00,166.18,166.91,166.37
760,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,760.00,758.37,608.00,532.00,456.00,380.00,304.00,228.00,169.29,167.51,169.06
770,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,770.00,768.20,616.00,539.00,462.00,385.00,308.00,231.00,170.85,170.48,170.82
780,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,780.00,779.24,624.00,546.00,468.00,390.00,312.00,234.00,172.93,172.67,173.28
790,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,790.00,788.61,632.00,553.00,474.00,395.00,316.00,237.00,175.28,175.55,175.03
800,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,800.00,798.91,640.00,560.00,480.00,400.00,320.00,240.00,177.54,176.93,177.90
810,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,810.00,808.73,648.00,567.00,486.00,405.00,324.00,243.00,179.63,179.01,178.92
820,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,820.00,819.52,656.00,574.00,492.00,410.00,328.00,246.00,182.56,181.10,182.43
830,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,830.00,829.19,664.00,581.00,498.00,415.00,332.00,249.00,184.06,184.33,183.57
840,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,840.00,839.34,672.00,588.00,504.00,420.00,336.00,252.00,186.90,185.73,185.44
850,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,850.00,849.00,680.00,595.00,510.00,425.00,340.00,255.00,189.53,188.12,188.01
860,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,860.00,858.82,688.00,602.00,516.00,430.00,344.00,258.00,190.76,190.85,190.52
870,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,870.00,869.15,696.00,609.00,522.00,435.00,348.00,261.00,193.41,192.13,193.51
880,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,880.00,879.66,704.00,616.00,528.00,440.00,352.00,264.00,195.03,195.11,195.00
890,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,890.00,887.57,712.00,623.00,534.00,445.00,356.00,267.00,198.52,197.55,196.80
900,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,900.00,898.95,720.00,630.00,540.00,450.00,360.00,270.00,199.89,199.21,199.41
910,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,910.00,908.93,728.00,637.00,546.00,455.00,364.00,273.00,202.74,202.74,201.71
920,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,920.00,919.10,736.00,644.00,552.00,460.00,368.00,276.00,204.13,204.36,204.36
930,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,930.00,929.64,744.00,651.00,558.00,465.00,372.00,279.00,207.63,206.78,206.03
940,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,940.00,938.71,752.00,658.00,564.00,470.00,376.00,282.00,208.86,207.32,208.62
950,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,950.00,949.26,760.00,665.00,570.00,475.00,380.00,285.00,210.57,211.15,210.81
960,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,960.00,959.44,768.00,672.00,576.00,480.00,384.00,288.00,213.75,213.00,212.62
970,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,970.00,969.62,776.00,679.00,582.00,485.00,388.00,291.00,215.69,215.00,215.37
980,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,980.00,979.62,784.00,686.00,588.00,490.00,392.00,294.00,217.62,217.57,217.50
990,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,990.00,988.45,792.00,693.00,594.00,495.00,396.00,297.00,220.40,219.50,220.69
1000,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1000.00,998.63,800.00,700.00,600.00,500.00,400.00,300.00,221.89,221.98,222.59
1010,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1010.00,1009.21,808.00,707.00,606.00,505.00,404.00,303.00,224.36,223.27,223.15
1020,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1020.00,1020.00,816.00,714.00,612.00,510.00,408.00,306.00,226.98,226.20,226.35
1030,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1030.00,1029.60,824.00,721.00,618.00,515.00,412.00,309.00,228.70,228.32,227.82
1040,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1040.00,1039.19,832.00,728.00,624.00,520.00,416.00,312.00,230.59,230.90,230.88
1050,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1050.00,1049.59,840.00,735.00,630.00,525.00,420.00,315.00,232.62,233.94,233.09
1060,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1060.00,1059.38,848.00,742.00,636.00,530.00,424.00,318.00,236.09,235.23,234.99
1070,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1070.00,1069.16,856.00,749.00,642.00,535.00,428.00,321.00,237.96,236.78,238.63
1080,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1080.00,1079.37,864.00,756.00,648.00,540.00,432.00,324.00,239.63,239.92,240.28
1090,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1090.00,1089.57,872.00,763.00,654.00,545.00,436.00,327.00,241.26,241.45,240.95
1100,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1100.00,1099.57,880.00,770.00,660.00,550.00,440.00,330.00,244.07,244.20,243.97
1110,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1110.00,1109.57,888.00,777.00,666.00,555.00,444.00,333.00,245.61,245.59,245.84
1120,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1120.00,1120.00,896.00,784.00,672.00,560.00,448.00,336.00,248.66,248.68,248.38
1130,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1130.00,1129.56,904.00,791.00,678.00,565.00,452.00,339.00,251.60,250.79,250.19
1140,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1140.00,1139.55,912.00,798.00,684.00,570.00,456.00,342.00,253.84,252.66,253.15
1150,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1150.00,1149.78,920.00,805.00,690.00,575.00,460.00,345.00,255.32,254.78,254.91
1160,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1160.00,1159.32,928.00,812.00,696.00,580.00,464.00,348.00,257.89,257.70,257.66
1170,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1170.00,1169.54,936.00,819.00,702.00,585.00,468.00,351.00,259.45,259.31,259.78
1180,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1180.00,1179.31,944.00,826.00,708.00,590.00,472.00,354.00,260.88,261.94,261.42
1190,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1190.00,1189.77,952.00,833.00,714.00,595.00,476.00,357.00,263.54,263.65,264.29
1200,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1200.00,1199.77,960.00,840.00,720.00,600.00,480.00,360.00,266.04,266.08,267.09
1210,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1210.00,1210.00,968.00,847.00,726.00,605.00,484.00,363.00,267.99,268.89,268.37
1220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1220.00,1219.29,976.00,854.00,732.00,610.00,488.00,366.00,269.98,270.10,270.57
1230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1230.00,1230.00,984.00,861.00,738.00,615.00,492.00,369.00,272.28,271.68,272.21
1240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1240.00,1239.52,992.00,868.00,744.00,620.00,496.00,372.00,275.12,274.46,274.77
1250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1250.00,1249.51,1000.00,875.00,750.00,625.00,500.00,375.00,276.90,276.40,277.94
1260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1260.00,1259.75,1008.00,882.00,756.00,630.00,504.00,378.00,279.74,280.42,278.84
1270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1270.00,1269.26,1016.00,889.00,762.00,635.00,508.00,381.00,281.30,280.91,281.11
1280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1280.00,1280.00,1024.00,896.00,768.00,640.00,512.00,384.00,283.82,283.49,282.94
1290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1290.00,1290.00,1032.00,903.00,774.00,645.00,516.00,387.00,285.52,285.43,285.65
1300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1300.00,1300.00,1040.00,910.00,780.00,650.00,520.00,390.00,288.43,288.68,287.55
1310,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1310.00,1310.00,1048.00,917.00,786.00,655.00,524.00,393.00,290.58,290.45,290.82
1320,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1320.00,1318.97,1056.00,924.00,792.00,660.00,528.00,396.00,293.70,293.71,292.76
1330,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1330.00,1329.22,1064.00,931.00,798.00,665.00,532.00,399.00,295.15,295.01,294.22
1340,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1340.00,1339.21,1072.00,938.00,804.00,670.00,536.00,402.00,296.64,297.34,296.94
1350,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1350.00,1349.74,1080.00,945.00,810.00,675.00,540.00,405.00,298.87,299.31,297.64
1360,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1360.00,1359.73,1088.00,952.00,816.00,680.00,544.00,408.00,301.38,301.85,301.54
1370,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1370.00,1369.73,1096.00,959.00,822.00,685.00,548.00,411.00,303.89,303.46,304.34
1380,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1380.00,1379.73,1104.00,966.00,828.00,690.00,552.00,414.00,306.80,305.83,304.91
1390,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1390.00,1390.00,1112.00,973.00,834.00,695.00,556.00,417.00,309.33,308.11,308.60
1400,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1400.00,1400.00,1120.00,980.00,840.00,700.00,560.00,420.00,310.83,310.61,311.02
1410,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1410.00,1409.17,1128.00,987.00,846.00,705.00,564.00,423.00,312.90,312.57,312.75
1420,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1420.00,1420.00,1136.00,994.00,852.00,710.00,568.00,426.00,314.63,315.21,314.51
1430,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1430.00,1429.44,1144.00,1001.00,858.00,715.00,572.00,429.00,317.63,318.17,316.75
1440,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1440.00,1439.72,1152.00,1008.00,864.00,720.00,576.00,432.00,319.53,317.66,319.15
1450,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1450.00,1450.00,1160.00,1015.00,870.00,725.00,580.00,435.00,321.71,321.35,320.24
1460,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1460.00,1460.00,1168.00,1022.00,876.00,730.00,584.00,438.00,322.80,322.23,322.40
1470,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1470.00,1470.00,1176.00,1029.00,882.00,735.00,588.00,441.00,324.89,327.54,326.01
