VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
10,0.73,0.74,0.74,0.75,0.73,0.73,0.70,0.71,0.68,0.69,0.68,10.00,9.36,8.24,7.08,6.02,5.02,4.06,3.23,2.61,2.30,2.29
20,0.81,0.81,0.82,0.81,0.81,0.80,0.78,0.76,0.75,0.74,0.75,20.00,18.92,16.38,14.05,12.00,10.00,8.03,6.22,4.96,4.49,4.44
30,0.86,0.87,0.87,0.87,0.86,0.86,0.83,0.82,0.80,0.79,0.79,30.00,28.58,24.44,21.02,18.00,15.00,12.01,9.19,7.25,6.68,6.64
40,0.90,0.90,0.90,0.90,0.89,0.89,0.87,0.85,0.83,0.83,0.82,40.00,38.28,32.46,28.01,24.00,20.00,16.01,12.17,9.52,8.88,8.87
50,0.92,0.92,0.93,0.93,0.92,0.92,0.90,0.89,0.86,0.86,0.86,50.00,48.05,40.42,35.00,30.00,25.00,20.00,15.15,11.77,11.10,11.09
60,0.94,0.94,0.95,0.94,0.94,0.93,0.92,0.90,0.88,0.88,0.88,60.00,57.82,48.39,42.00,36.00,30.00,24.00,18.12,14.03,13.31,13.30
70,0.95,0.95,0.96,0.96,0.95,0.95,0.94,0.92,0.90,0.89,0.90,70.00,67.62,56.35,49.00,42.00,35.00,28.00,21.10,16.24,15.53,15.52
80,0.96,0.96,0.97,0.97,0.96,0.96,0.95,0.93,0.91,0.91,0.91,80.00,77.46,64.32,56.00,48.00,40.00,32.00,24.08,18.47,17.78,17.74
90,0.97,0.97,0.97,0.97,0.97,0.97,0.96,0.95,0.93,0.92,0.92,90.00,87.28,72.27,63.00,54.00,45.00,36.00,27.07,20.72,19.97,19.97
100,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.95,0.94,0.93,0.93,100.00,97.21,80.24,70.00,60.00,50.00,40.00,30.06,22.95,22.18,22.14
110,0.98,0.98,0.98,0.98,0.98,0.98,0.97,0.96,0.94,0.94,0.94,110.00,107.03,88.19,77.00,66.00,55.00,44.00,33.05,25.17,24.39,24.42
120,0.99,0.98,0.99,0.99,0.99,0.98,0.98,0.96,0.95,0.95,0.95,120.00,116.98,96.16,84.00,72.00,60.00,48.00,36.04,27.37,26.62,26.60
130,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.96,0.96,0.96,130.00,127.01,104.17,91.00,78.00,65.00,52.00,39.04,29.60,28.82,28.83
140,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.96,0.96,0.96,140.00,136.80,112.14,98.00,84.00,70.00,56.00,42.03,31.81,31.05,31.04
150,0.99,0.99,0.99,1.00,0.99,0.99,0.98,0.98,0.97,0.97,0.97,150.00,146.87,120.14,105.00,90.00,75.00,60.00,45.03,34.05,33.26,33.30
160,0.99,0.99,1.00,1.00,0.99,0.99,0.99,0.98,0.97,0.97,0.97,160.00,156.76,128.08,112.00,96.00,80.00,64.00,48.02,36.25,35.45,35.50
170,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.98,0.98,0.98,0.98,170.00,166.67,136.07,119.00,102.00,85.00,68.00,51.02,38.46,37.70,37.74
180,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.98,0.98,0.98,180.00,176.68,144.09,126.00,108.00,90.00,72.00,54.02,40.68,39.95,39.95
190,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.98,0.98,0.98,190.00,186.74,152.01,133.00,114.00,95.00,76.00,57.01,42.90,42.12,42.17
200,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.98,0.98,0.98,200.00,196.85,160.00,140.00,120.00,100.00,80.00,60.01,45.07,44.26,44.39
210,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,0.98,210.00,206.45,168.05,147.00,126.00,105.00,84.00,63.01,47.35,46.60,46.67
220,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,220.00,216.76,176.00,154.00,132.00,110.00,88.00,66.01,49.51,48.76,48.80
230,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,230.00,226.35,184.00,161.00,138.00,115.00,92.00,69.01,51.71,51.01,51.07
240,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,0.99,240.00,236.63,192.00,168.00,144.00,120.00,96.00,72.01,53.99,53.24,53.23
250,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,250.00,246.53,200.00,175.00,150.00,125.00,100.00,75.01,56.23,55.38,55.50
260,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,260.00,257.26,208.00,182.00,156.00,130.00,104.00,78.01,58.48,57.69,57.68
270,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,1.00,270.00,266.57,216.00,189.00,162.00,135.00,108.00,81.00,60.61,59.87,59.58
280,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,280.00,276.45,224.00,196.00,168.00,140.00,112.00,84.00,62.77,62.29,62.06
290,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,0.99,0.99,290.00,287.62,232.00,203.00,174.00,145.00,116.00,87.00,65.11,64.39,64.39
300,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.99,300.00,297.19,240.00,210.00,180.00,150.00,120.00,90.00,67.35,66.89,66.46
