VotersAmount,Treshold00Probability,Treshold10Probability,Treshold20Probability,Treshold30Probability,Treshold40Probability,Treshold50Probability,Treshold60Probability,Treshold70Probability,Treshold80Probability,Treshold90Probability,Treshold100Probability,Treshold00AverageVotersAmount,Treshold10AverageVotersAmount,Treshold20AverageVotersAmount,Treshold30AverageVotersAmount,Treshold40AverageVotersAmount,Treshold50AverageVotersAmount,Treshold60AverageVotersAmount,Treshold70AverageVotersAmount,Treshold80AverageVotersAmount,Treshold90AverageVotersAmount,Treshold100AverageVotersAmount
330,0.64,0.64,0.79,0.83,0.86,0.87,0.88,0.88,0.87,0.87,0.87,330.00,329.98,266.38,231.00,198.00,165.00,132.00,99.00,66.37,57.40,57.38
340,0.64,0.64,0.79,0.83,0.86,0.88,0.88,0.89,0.88,0.87,0.87,340.00,339.98,274.38,238.00,204.00,170.00,136.00,102.00,68.37,59.11,59.13
350,0.65,0.65,0.79,0.84,0.86,0.88,0.89,0.89,0.88,0.87,0.88,350.00,349.99,282.36,245.00,210.00,175.00,140.00,105.00,70.36,60.88,60.89
360,0.65,0.65,0.80,0.84,0.87,0.88,0.89,0.89,0.88,0.88,0.88,360.00,359.99,290.29,252.00,216.00,180.00,144.00,108.00,72.35,62.62,62.63
370,0.65,0.65,0.80,0.84,0.87,0.89,0.89,0.90,0.89,0.88,0.88,370.00,369.99,298.27,259.00,222.00,185.00,148.00,111.00,74.35,64.32,64.33
380,0.65,0.65,0.80,0.85,0.87,0.89,0.90,0.90,0.89,0.88,0.88,380.00,379.99,306.20,266.00,228.00,190.00,152.00,114.00,76.33,66.10,66.11
390,0.65,0.65,0.81,0.85,0.87,0.89,0.90,0.90,0.89,0.89,0.89,390.00,389.99,314.10,273.00,234.00,195.00,156.00,117.00,78.33,67.87,67.83
400,0.66,0.65,0.81,0.85,0.88,0.89,0.90,0.91,0.90,0.89,0.89,400.00,399.99,322.06,280.00,240.00,200.00,160.00,120.00,80.32,69.57,69.54
410,0.66,0.66,0.81,0.85,0.88,0.90,0.91,0.91,0.90,0.89,0.89,410.00,409.99,329.97,287.00,246.00,205.00,164.00,123.00,82.31,71.30,71.32
420,0.66,0.66,0.81,0.86,0.88,0.90,0.91,0.91,0.90,0.90,0.90,420.00,420.00,337.91,294.00,252.00,210.00,168.00,126.00,84.30,73.09,73.05
430,0.66,0.66,0.82,0.86,0.88,0.90,0.91,0.91,0.90,0.90,0.90,430.00,430.00,345.86,301.00,258.00,215.00,172.00,129.00,86.30,74.81,74.83
440,0.66,0.66,0.82,0.86,0.89,0.91,0.91,0.91,0.91,0.90,0.90,440.00,440.00,353.80,308.00,264.00,220.00,176.00,132.00,88.29,76.57,76.54
450,0.67,0.66,0.83,0.87,0.89,0.91,0.91,0.92,0.91,0.90,0.90,450.00,450.00,361.75,315.00,270.00,225.00,180.00,135.00,90.28,78.25,78.26
460,0.67,0.67,0.83,0.87,0.89,0.91,0.92,0.92,0.91,0.91,0.91,460.00,460.00,369.75,322.00,276.00,230.00,184.00,138.00,92.28,79.96,80.04
470,0.67,0.67,0.83,0.87,0.90,0.91,0.92,0.92,0.91,0.91,0.91,470.00,470.00,377.68,329.00,282.00,235.00,188.00,141.00,94.27,81.78,81.76
480,0.67,0.67,0.83,0.88,0.90,0.91,0.92,0.92,0.91,0.91,0.91,480.00,480.00,385.65,336.00,288.00,240.00,192.00,144.00,96.26,83.46,83.46
490,0.67,0.67,0.84,0.88,0.90,0.92,0.92,0.93,0.92,0.91,0.91,490.00,490.00,393.62,343.00,294.00,245.00,196.00,147.00,98.26,85.20,85.27
500,0.67,0.67,0.84,0.88,0.90,0.92,0.93,0.93,0.92,0.92,0.91,500.00,500.00,401.50,350.00,300.00,250.00,200.00,150.00,100.24,87.01,86.98
510,0.67,0.68,0.84,0.88,0.91,0.92,0.93,0.93,0.92,0.92,0.92,510.00,510.00,409.52,357.00,306.00,255.00,204.00,153.00,102.25,88.75,88.75
520,0.68,0.67,0.84,0.88,0.91,0.92,0.93,0.93,0.92,0.92,0.92,520.00,520.00,417.48,364.00,312.00,260.00,208.00,156.00,104.23,90.42,90.47
530,0.68,0.68,0.84,0.89,0.91,0.93,0.93,0.93,0.93,0.92,0.92,530.00,530.00,425.39,371.00,318.00,265.00,212.00,159.00,106.23,92.21,92.20
540,0.68,0.68,0.85,0.89,0.91,0.93,0.93,0.94,0.93,0.92,0.92,540.00,540.00,433.31,378.00,324.00,270.00,216.00,162.00,108.22,93.94,93.94
550,0.68,0.68,0.85,0.89,0.91,0.93,0.94,0.94,0.93,0.93,0.92,550.00,550.00,441.25,385.00,330.00,275.00,220.00,165.00,110.22,95.68,95.69
560,0.68,0.68,0.85,0.89,0.91,0.93,0.94,0.94,0.93,0.93,0.93,560.00,560.00,449.28,392.00,336.00,280.00,224.00,168.00,112.21,97.48,97.38
570,0.68,0.68,0.85,0.90,0.92,0.93,0.94,0.94,0.93,0.93,0.93,570.00,570.00,457.18,399.00,342.00,285.00,228.00,171.00,114.21,99.13,99.21
