,"Crow ""IQ""",,,,,,,,,,,Average voters,,,,,,,,,,
Voters,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
1740,0.2,0.2,0.65,0.79,0.87,0.92,0.95,0.97,0.97,0.97,0.97,1740,1740,1392.76,1218,1044,870,696,522,348,285.85,285.85
1750,0.2,0.2,0.65,0.79,0.87,0.93,0.95,0.96,0.97,0.97,0.97,1750,1750,1400.73,1225,1050,875,700,525,350,287.46,287.56
1760,0.2,0.2,0.65,0.79,0.87,0.92,0.95,0.97,0.97,0.97,0.97,1760,1760,1408.82,1232,1056,880,704,528,352,289.18,289.07
1770,0.2,0.2,0.65,0.79,0.88,0.93,0.96,0.97,0.97,0.97,0.97,1770,1770,1416.72,1239,1062,885,708,531,354,290.87,290.73
1780,0.2,0.2,0.65,0.79,0.87,0.93,0.95,0.97,0.97,0.97,0.97,1780,1780,1424.75,1246,1068,890,712,534,356,292.37,292.44
1790,0.2,0.2,0.65,0.79,0.88,0.93,0.95,0.97,0.97,0.97,0.97,1790,1790,1432.73,1253,1074,895,716,537,358,294.01,294.16
1800,0.2,0.2,0.65,0.79,0.88,0.93,0.95,0.97,0.97,0.97,0.97,1800,1800,1440.7,1260,1080,900,720,540,360,295.74,295.78
1810,0.2,0.2,0.65,0.79,0.88,0.93,0.95,0.97,0.97,0.97,0.97,1810,1810,1448.67,1267,1086,905,724,543,362,297.31,297.5
1820,0.2,0.2,0.65,0.79,0.88,0.93,0.95,0.97,0.97,0.97,0.97,1820,1820,1456.66,1274,1092,910,728,546,364,298.96,298.95
1830,0.2,0.2,0.65,0.79,0.88,0.93,0.96,0.97,0.97,0.97,0.97,1830,1830,1464.62,1281,1098,915,732,549,366,300.69,300.84
1840,0.2,0.2,0.65,0.79,0.88,0.93,0.96,0.97,0.98,0.97,0.97,1840,1840,1472.65,1288,1104,920,736,552,368,302.35,302.05
1850,0.2,0.2,0.65,0.79,0.88,0.93,0.96,0.97,0.97,0.97,0.97,1850,1850,1480.61,1295,1110,925,740,555,370,303.81,303.96
1860,0.19,0.2,0.65,0.79,0.88,0.93,0.96,0.97,0.97,0.97,0.97,1860,1860,1488.58,1302,1116,930,744,558,372,305.8,305.45
1870,0.19,0.2,0.65,0.8,0.88,0.93,0.96,0.97,0.98,0.97,0.97,1870,1870,1496.6,1309,1122,935,748,561,374,307.2,307.2
1880,0.19,0.19,0.65,0.8,0.88,0.93,0.96,0.97,0.97,0.97,0.97,1880,1880,1504.59,1316,1128,940,752,564,376,308.9,308.83
1890,0.19,0.19,0.65,0.8,0.88,0.93,0.96,0.97,0.97,0.97,0.97,1890,1890,1512.58,1323,1134,945,756,567,378,310.41,310.55
1900,0.19,0.19,0.65,0.79,0.89,0.93,0.96,0.97,0.98,0.97,0.97,1900,1900,1520.56,1330,1140,950,760,570,380,312,312.11
1910,0.19,0.19,0.65,0.8,0.88,0.93,0.96,0.97,0.98,0.97,0.97,1910,1910,1528.56,1337,1146,955,764,573,382,313.9,313.85
1920,0.19,0.19,0.65,0.8,0.89,0.93,0.96,0.97,0.98,0.97,0.98,1920,1920,1536.54,1344,1152,960,768,576,384,315.23,315.48
1930,0.19,0.19,0.65,0.8,0.89,0.93,0.96,0.97,0.98,0.97,0.97,1930,1930,1544.53,1351,1158,965,772,579,386,317.13,316.93
1940,0.19,0.19,0.65,0.8,0.89,0.93,0.96,0.97,0.98,0.98,0.98,1940,1940,1552.52,1358,1164,970,776,582,388,318.71,318.87
1950,0.19,0.19,0.66,0.8,0.89,0.94,0.96,0.97,0.98,0.97,0.97,1950,1950,1560.48,1365,1170,975,780,585,390,320.29,320.49
1960,0.19,0.19,0.65,0.8,0.89,0.94,0.96,0.97,0.98,0.98,0.98,1960,1960,1568.54,1372,1176,980,784,588,392,321.97,321.93
1970,0.19,0.19,0.65,0.8,0.89,0.93,0.96,0.97,0.98,0.97,0.97,1970,1970,1576.49,1379,1182,985,788,591,394,323.6,323.54
1980,0.19,0.19,0.66,0.8,0.89,0.94,0.96,0.97,0.98,0.98,0.98,1980,1980,1584.52,1386,1188,990,792,594,396,325.38,325.33
1990,0.19,0.18,0.65,0.8,0.89,0.94,0.96,0.98,0.98,0.98,0.98,1990,1990,1592.46,1393,1194,995,796,597,398,326.79,326.98
2000,0.19,0.19,0.66,0.8,0.89,0.94,0.96,0.97,0.98,0.98,0.98,2000,2000,1600.44,1400,1200,1000,800,600,400,328.67,328.55
2010,0.18,0.19,0.66,0.8,0.89,0.94,0.96,0.97,0.98,0.98,0.98,2010,2010,1608.45,1407,1206,1005,804,603,402,330.28,330.31
2020,0.18,0.18,0.66,0.8,0.89,0.94,0.96,0.98,0.98,0.98,0.98,2020,2020,1616.41,1414,1212,1010,808,606,404,331.77,332.03
2030,0.18,0.18,0.66,0.8,0.89,0.94,0.96,0.98,0.98,0.98,0.98,2030,2030,1624.45,1421,1218,1015,812,609,406,333.62,333.42
2040,0.18,0.19,0.66,0.81,0.89,0.94,0.96,0.97,0.98,0.98,0.98,2040,2040,1632.41,1428,1224,1020,816,612,408,335.26,335.19
2050,0.18,0.18,0.66,0.81,0.89,0.94,0.96,0.97,0.98,0.98,0.98,2050,2050,1640.4,1435,1230,1025,820,615,410,336.75,336.91
2060,0.18,0.18,0.66,0.8,0.89,0.94,0.96,0.98,0.98,0.98,0.98,2060,2060,1648.45,1442,1236,1030,824,618,412,338.47,338.43
2070,0.18,0.18,0.66,0.81,0.89,0.94,0.96,0.98,0.98,0.98,0.98,2070,2070,1656.39,1449,1242,1035,828,621,414,340.16,340.07
2080,0.18,0.18,0.66,0.81,0.9,0.94,0.97,0.98,0.98,0.98,0.98,2080,2080,1664.39,1456,1248,1040,832,624,416,341.78,341.8
2090,0.18,0.18,0.66,0.81,0.9,0.94,0.97,0.98,0.98,0.98,0.98,2090,2090,1672.36,1463,1254,1045,836,627,418,343.22,343.03
2100,0.18,0.18,0.66,0.81,0.9,0.94,0.97,0.98,0.98,0.98,0.98,2100,2100,1680.38,1470,1260,1050,840,630,420,344.98,345.17
2110,0.18,0.18,0.66,0.81,0.9,0.94,0.97,0.98,0.98,0.98,0.98,2110,2110,1688.4,1477,1266,1055,844,633,422,346.76,346.7
2120,0.18,0.18,0.66,0.81,0.9,0.94,0.97,0.98,0.98,0.98,0.98,2120,2120,1696.37,1484,1272,1060,848,636,424,348.2,348.29
2130,0.18,0.18,0.66,0.81,0.9,0.94,0.97,0.98,0.98,0.98,0.98,2130,2130,1704.36,1491,1278,1065,852,639,426,350.02,349.96
2140,0.18,0.18,0.66,0.81,0.9,0.94,0.97,0.98,0.98,0.98,0.98,2140,2140,1712.38,1498,1284,1070,856,642,428,351.61,351.6
2150,0.18,0.18,0.66,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2150,2150,1720.36,1505,1290,1075,860,645,430,353.3,353.42
2160,0.18,0.18,0.66,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2160,2160,1728.33,1512,1296,1080,864,648,432,354.87,354.78
2170,0.18,0.18,0.66,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2170,2170,1736.31,1519,1302,1085,868,651,434,356.66,356.57
2180,0.17,0.18,0.67,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2180,2180,1744.34,1526,1308,1090,872,654,436,358.15,358.06
2190,0.17,0.17,0.66,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2190,2190,1752.28,1533,1314,1095,876,657,438,360,359.78
2200,0.18,0.18,0.67,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2200,2200,1760.35,1540,1320,1100,880,660,440,361.53,361.41
2210,0.17,0.17,0.66,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2210,2210,1768.35,1547,1326,1105,884,663,442,362.99,363.24
2220,0.17,0.17,0.66,0.82,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2220,2220,1776.29,1554,1332,1110,888,666,444,364.84,364.84
2230,0.17,0.17,0.67,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2230,2230,1784.29,1561,1338,1115,892,669,446,366.3,366.47
2240,0.17,0.17,0.67,0.81,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2240,2240,1792.29,1568,1344,1120,896,672,448,367.89,367.97
2250,0.17,0.17,0.67,0.82,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2250,2250,1800.27,1575,1350,1125,900,675,450,369.42,369.48
2260,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.98,0.98,2260,2260,1808.25,1582,1356,1130,904,678,452,371.3,371.43
2270,0.17,0.17,0.67,0.82,0.9,0.95,0.97,0.98,0.98,0.98,0.98,2270,2270,1816.27,1589,1362,1135,908,681,454,373.03,372.91
2280,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.99,0.98,0.98,2280,2280,1824.24,1596,1368,1140,912,684,456,374.42,374.82
2290,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.98,0.98,2290,2290,1832.27,1603,1374,1145,916,687,458,376.22,376.17
2300,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.98,0.98,2300,2300,1840.24,1610,1380,1150,920,690,460,377.95,377.69
2310,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.98,0.98,2310,2310,1848.23,1617,1386,1155,924,693,462,379.43,379.83
2320,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.98,0.98,2320,2320,1856.27,1624,1392,1160,928,696,464,380.95,380.88
2330,0.17,0.17,0.67,0.82,0.91,0.95,0.98,0.98,0.98,0.99,0.99,2330,2330,1864.27,1631,1398,1165,932,699,466,383.03,382.95
2340,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.99,0.98,2340,2340,1872.25,1638,1404,1170,936,702,468,384.6,384.39
2350,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.99,0.99,0.98,2350,2350,1880.24,1645,1410,1175,940,705,470,386.04,385.83
2360,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.98,0.99,2360,2360,1888.24,1652,1416,1180,944,708,472,387.98,387.74
2370,0.17,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.98,0.99,2370,2370,1896.22,1659,1422,1185,948,711,474,389.32,389.49
2380,0.16,0.16,0.67,0.82,0.91,0.95,0.97,0.98,0.98,0.99,0.98,2380,2380,1904.21,1666,1428,1190,952,714,476,390.96,390.77
2390,0.16,0.17,0.67,0.82,0.91,0.95,0.97,0.98,0.99,0.99,0.99,2390,2390,1912.23,1673,1434,1195,956,717,478,392.48,392.64
2400,0.16,0.16,0.67,0.82,0.91,0.95,0.97,0.98,0.99,0.99,0.98,2400,2400,1920.2,1680,1440,1200,960,720,480,394.35,394.43
2410,0.16,0.16,0.67,0.83,0.91,0.95,0.98,0.98,0.99,0.99,0.98,2410,2410,1928.21,1687,1446,1205,964,723,482,395.91,395.96
2420,0.16,0.16,0.67,0.83,0.91,0.95,0.98,0.98,0.99,0.98,0.99,2420,2420,1936.22,1694,1452,1210,968,726,484,397.72,397.31
2430,0.16,0.16,0.67,0.82,0.91,0.96,0.98,0.98,0.99,0.99,0.99,2430,2430,1944.17,1701,1458,1215,972,729,486,399.46,399.45
2440,0.16,0.16,0.67,0.83,0.91,0.96,0.98,0.98,0.99,0.99,0.99,2440,2440,1952.24,1708,1464,1220,976,732,488,401.02,400.91
2450,0.16,0.16,0.67,0.83,0.91,0.96,0.97,0.98,0.99,0.99,0.99,2450,2450,1960.22,1715,1470,1225,980,735,490,402.54,402.57
2460,0.16,0.16,0.67,0.83,0.91,0.96,0.98,0.98,0.99,0.99,0.99,2460,2460,1968.22,1722,1476,1230,984,738,492,403.9,404.02
2470,0.16,0.16,0.67,0.83,0.91,0.96,0.98,0.99,0.99,0.99,0.99,2470,2470,1976.17,1729,1482,1235,988,741,494,405.72,405.42
2480,0.16,0.16,0.67,0.83,0.91,0.96,0.98,0.99,0.99,0.99,0.99,2480,2480,1984.18,1736,1488,1240,992,744,496,407.43,407.52
2490,0.16,0.16,0.67,0.83,0.91,0.96,0.98,0.99,0.99,0.99,0.99,2490,2490,1992.15,1743,1494,1245,996,747,498,408.9,409.06
2500,0.16,0.16,0.67,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2500,2500,2000.2,1750,1500,1250,1000,750,500,410.68,410.93
2510,0.16,0.16,0.68,0.83,0.92,0.96,0.98,0.98,0.99,0.99,0.99,2510,2510,2008.14,1757,1506,1255,1004,753,502,412.81,412.57
2520,0.16,0.16,0.67,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2520,2520,2016.21,1764,1512,1260,1008,756,504,414.05,413.95
2530,0.16,0.16,0.68,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2530,2530,2024.14,1771,1518,1265,1012,759,506,415.6,415.56
2540,0.16,0.16,0.67,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2540,2540,2032.18,1778,1524,1270,1016,762,508,417.23,417.26
2550,0.16,0.16,0.68,0.83,0.91,0.96,0.98,0.99,0.99,0.99,0.99,2550,2550,2040.15,1785,1530,1275,1020,765,510,418.95,419.17
2560,0.16,0.15,0.68,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2560,2560,2048.14,1792,1536,1280,1024,768,512,420.59,420.44
2570,0.16,0.16,0.68,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2570,2570,2056.2,1799,1542,1285,1028,771,514,421.92,422.08
2580,0.15,0.16,0.68,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2580,2580,2064.15,1806,1548,1290,1032,774,516,423.94,423.7
2590,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2590,2590,2072.15,1813,1554,1295,1036,777,518,425.31,425.31
2600,0.15,0.15,0.68,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2600,2600,2080.17,1820,1560,1300,1040,780,520,427.52,427.04
2610,0.15,0.15,0.68,0.83,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2610,2610,2088.15,1827,1566,1305,1044,783,522,428.84,428.72
2620,0.15,0.15,0.68,0.83,0.92,0.96,0.98,0.99,1,0.99,0.99,2620,2620,2096.13,1834,1572,1310,1048,786,524,430.45,430.53
2630,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2630,2630,2104.1,1841,1578,1315,1052,789,526,432.06,431.88
2640,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2640,2640,2112.12,1848,1584,1320,1056,792,528,433.54,433.76
2650,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2650,2650,2120.12,1855,1590,1325,1060,795,530,434.95,435.68
2660,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2660,2660,2128.12,1862,1596,1330,1064,798,532,436.97,437.04
2670,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2670,2670,2136.1,1869,1602,1335,1068,801,534,438.54,438.89
2680,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2680,2680,2144.11,1876,1608,1340,1072,804,536,440.13,440.32
2690,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2690,2690,2152.13,1883,1614,1345,1076,807,538,441.97,441.74
2700,0.15,0.15,0.68,0.84,0.93,0.96,0.98,0.99,0.99,0.99,0.99,2700,2700,2160.1,1890,1620,1350,1080,810,540,443.65,443.88
2710,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2710,2710,2168.1,1897,1626,1355,1084,813,542,445.31,445.08
2720,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2720,2720,2176.1,1904,1632,1360,1088,816,544,447.12,446.82
2730,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2730,2730,2184.1,1911,1638,1365,1092,819,546,448.69,448.56
2740,0.15,0.15,0.68,0.84,0.93,0.96,0.98,0.99,0.99,0.99,0.99,2740,2740,2192.12,1918,1644,1370,1096,822,548,449.89,450.39
2750,0.15,0.15,0.68,0.84,0.93,0.96,0.98,0.99,0.99,0.99,0.99,2750,2750,2200.1,1925,1650,1375,1100,825,550,451.56,451.72
2760,0.15,0.15,0.68,0.84,0.92,0.96,0.98,0.99,0.99,0.99,0.99,2760,2760,2208.1,1932,1656,1380,1104,828,552,453.33,453.15
2770,0.15,0.15,0.68,0.84,0.93,0.96,0.98,0.99,0.99,0.99,0.99,2770,2770,2216.1,1939,1662,1385,1108,831,554,455.17,455.25
2780,0.15,0.14,0.68,0.84,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2780,2780,2224.07,1946,1668,1390,1112,834,556,456.4,456.94
2790,0.15,0.14,0.68,0.84,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2790,2790,2232.12,1953,1674,1395,1116,837,558,458.59,458.27
2800,0.15,0.14,0.68,0.84,0.93,0.96,0.98,0.99,0.99,0.99,0.99,2800,2800,2240.1,1960,1680,1400,1120,840,560,459.9,460.04
2810,0.14,0.15,0.69,0.84,0.93,0.96,0.98,0.99,0.99,0.99,0.99,2810,2810,2248.1,1967,1686,1405,1124,843,562,462.08,461.36
2820,0.15,0.14,0.68,0.84,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2820,2820,2256.09,1974,1692,1410,1128,846,564,463.33,462.91
2830,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2830,2830,2264.09,1981,1698,1415,1132,849,566,464.47,464.41
2840,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2840,2840,2272.1,1988,1704,1420,1136,852,568,467.08,466.52
2850,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2850,2850,2280.07,1995,1710,1425,1140,855,570,468.1,468.23
2860,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2860,2860,2288.08,2002,1716,1430,1144,858,572,469.97,469.65
2870,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2870,2870,2296.08,2009,1722,1435,1148,861,574,471.27,471.66
2880,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2880,2880,2304.08,2016,1728,1440,1152,864,576,473.24,473.38
2890,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2890,2890,2312.06,2023,1734,1445,1156,867,578,474.52,474.55
2900,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,1,0.99,2900,2900,2320.08,2030,1740,1450,1160,870,580,476.41,476.54
2910,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,2910,2910,2328.08,2037,1746,1455,1164,873,582,478.09,478
2920,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2920,2920,2336.08,2044,1752,1460,1168,876,584,479.83,479.61
2930,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2930,2930,2344.07,2051,1758,1465,1172,879,586,481.24,480.98
2940,0.14,0.14,0.69,0.85,0.93,0.97,0.98,0.99,0.99,0.99,0.99,2940,2940,2352.06,2058,1764,1470,1176,882,588,482.41,483.35
2950,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,2950,2950,2360.06,2065,1770,1475,1180,885,590,484.83,484.72
2960,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,2960,2960,2368.07,2072,1776,1480,1184,888,592,486.51,486.64
2970,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,2970,2970,2376.08,2079,1782,1485,1188,891,594,488,487.83
2980,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,2980,2980,2384.07,2086,1788,1490,1192,894,596,489.9,489.52
2990,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,2990,2990,2392.06,2093,1794,1495,1196,897,598,491.1,490.91
3000,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,3000,3000,2400.08,2100,1800,1500,1200,900,600,492.82,493.33
3010,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,3010,3010,2408.09,2107,1806,1505,1204,903,602,494.47,494.5
3020,0.14,0.14,0.69,0.85,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3020,3020,2416.03,2114,1812,1510,1208,906,604,496.67,496.14
3030,0.14,0.14,0.69,0.85,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3030,3030,2424.05,2121,1818,1515,1212,909,606,497.78,497.91
3040,0.14,0.14,0.69,0.85,0.93,0.97,0.99,0.99,0.99,0.99,0.99,3040,3040,2432.07,2128,1824,1520,1216,912,608,499.55,499.41
3050,0.13,0.13,0.69,0.85,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3050,3050,2440.07,2135,1830,1525,1220,915,610,500.54,500.96
3060,0.13,0.13,0.69,0.85,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3060,3060,2448.06,2142,1836,1530,1224,918,612,502.62,502.74
3070,0.13,0.13,0.69,0.85,0.93,0.97,0.99,0.99,0.99,1,1,3070,3070,2456.04,2149,1842,1535,1228,921,614,504.37,503.68
3080,0.13,0.13,0.69,0.85,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3080,3080,2464.05,2156,1848,1540,1232,924,616,506,506.01
3090,0.13,0.13,0.69,0.85,0.94,0.97,0.99,0.99,1,0.99,0.99,3090,3090,2472.05,2163,1854,1545,1236,927,618,507.38,507.87
3100,0.13,0.13,0.69,0.86,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3100,3100,2480.05,2170,1860,1550,1240,930,620,509.21,509.21
3110,0.13,0.13,0.69,0.86,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3110,3110,2488.04,2177,1866,1555,1244,933,622,510.68,511.24
3120,0.13,0.13,0.69,0.86,0.94,0.97,0.99,0.99,0.99,0.99,1,3120,3120,2496.06,2184,1872,1560,1248,936,624,512.56,512.58
3130,0.13,0.13,0.69,0.86,0.94,0.97,0.99,0.99,0.99,0.99,1,3130,3130,2504.04,2191,1878,1565,1252,939,626,513.91,514.19
3140,0.13,0.13,0.7,0.86,0.94,0.97,0.99,0.99,1,0.99,0.99,3140,3140,2512.03,2198,1884,1570,1256,942,628,515.76,515.23
3150,0.13,0.13,0.69,0.86,0.94,0.97,0.99,0.99,0.99,0.99,1,3150,3150,2520.05,2205,1890,1575,1260,945,630,517.38,517.9
3160,0.13,0.13,0.7,0.86,0.94,0.97,0.99,0.99,1,0.99,0.99,3160,3160,2528.03,2212,1896,1580,1264,948,632,519.51,519.27
3170,0.13,0.13,0.69,0.86,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3170,3170,2536.05,2219,1902,1585,1268,951,634,520.98,520.8
3180,0.13,0.13,0.7,0.86,0.94,0.97,0.99,0.99,0.99,0.99,0.99,3180,3180,2544.03,2226,1908,1590,1272,954,636,522.28,522.23
3190,0.13,0.13,0.7,0.86,0.94,0.97,0.99,1,1,0.99,0.99,3190,3190,2552.05,2233,1914,1595,1276,957,638,523.96,524.12
3200,0.13,0.13,0.7,0.86,0.94,0.97,0.99,0.99,0.99,0.99,1,3200,3200,2560.05,2240,1920,1600,1280,960,640,525.72,525.16
3210,0.13,0.13,0.69,0.86,0.94,0.97,0.99,1,1,0.99,0.99,3210,3210,2568.06,2247,1926,1605,1284,963,642,527.7,527.07
3220,0.13,0.13,0.7,0.86,0.94,0.98,0.99,0.99,0.99,0.99,0.99,3220,3220,2576.03,2254,1932,1610,1288,966,644,529.28,528.98
3230,0.13,0.13,0.7,0.86,0.94,0.98,0.99,0.99,1,0.99,1,3230,3230,2584.03,2261,1938,1615,1292,969,646,530.84,530.94
3240,0.13,0.13,0.7,0.86,0.94,0.98,0.99,0.99,0.99,1,0.99,3240,3240,2592.02,2268,1944,1620,1296,972,648,532.72,532.42
3250,0.13,0.13,0.7,0.86,0.94,0.97,0.99,1,0.99,0.99,1,3250,3250,2600.04,2275,1950,1625,1300,975,650,534.07,533.68
3260,0.13,0.13,0.7,0.86,0.94,0.98,0.99,0.99,0.99,0.99,0.99,3260,3260,2608.04,2282,1956,1630,1304,978,652,535.65,535.06
3270,0.13,0.13,0.7,0.86,0.94,0.97,0.99,0.99,1,1,0.99,3270,3270,2616.05,2289,1962,1635,1308,981,654,537.61,537.22
3280,0.12,0.13,0.7,0.86,0.94,0.98,0.99,1,0.99,1,0.99,3280,3280,2624.03,2296,1968,1640,1312,984,656,540.12,538.85
3290,0.13,0.13,0.7,0.86,0.94,0.97,0.99,0.99,1,0.99,1,3290,3290,2632.03,2303,1974,1645,1316,987,658,540.37,540.31
3300,0.13,0.13,0.7,0.86,0.94,0.98,0.99,0.99,0.99,1,0.99,3300,3300,2640.04,2310,1980,1650,1320,990,660,542.08,542.09
3310,0.12,0.13,0.7,0.86,0.94,0.98,0.99,0.99,0.99,0.99,1,3310,3310,2648.03,2317,1986,1655,1324,993,662,543.78,543.57
3320,0.13,0.12,0.7,0.87,0.94,0.97,0.99,1,1,0.99,1,3320,3320,2656.04,2324,1992,1660,1328,996,664,544.97,546.48
3330,0.13,0.12,0.7,0.86,0.94,0.97,0.99,0.99,0.99,1,1,3330,3330,2664.03,2331,1998,1665,1332,999,666,547.56,547.3
3340,0.12,0.12,0.7,0.86,0.94,0.98,0.99,0.99,0.99,1,1,3340,3340,2672.02,2338,2004,1670,1336,1002,668,548.53,549.11
3350,0.12,0.12,0.7,0.86,0.94,0.98,0.99,0.99,1,1,0.99,3350,3350,2680.03,2345,2010,1675,1340,1005,670,550.63,550.47
3360,0.12,0.13,0.7,0.87,0.94,0.98,0.99,0.99,1,1,1,3360,3360,2688.01,2352,2016,1680,1344,1008,672,551.44,551.71
3370,0.12,0.12,0.7,0.86,0.94,0.98,0.99,0.99,1,1,1,3370,3370,2696.04,2359,2022,1685,1348,1011,674,553.92,553.85
3380,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,1,0.99,0.99,3380,3380,2704.04,2366,2028,1690,1352,1014,676,555.02,555.85
3390,0.12,0.12,0.7,0.87,0.94,0.98,0.99,1,1,1,1,3390,3390,2712.03,2373,2034,1695,1356,1017,678,556.9,556.43
3400,0.12,0.12,0.7,0.87,0.95,0.98,0.99,1,1,0.99,1,3400,3400,2720.03,2380,2040,1700,1360,1020,680,558.46,558.8
3410,0.12,0.12,0.7,0.87,0.95,0.98,0.99,1,1,1,1,3410,3410,2728.03,2387,2046,1705,1364,1023,682,558.39,559.84
3420,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,0.99,1,0.99,3420,3420,2736.03,2394,2052,1710,1368,1026,684,562.17,561.88
3430,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,1,0.99,1,3430,3430,2744.01,2401,2058,1715,1372,1029,686,563.18,563.27
3440,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,1,1,1,3440,3440,2752.02,2408,2064,1720,1376,1032,688,564.83,565.02
3450,0.12,0.12,0.7,0.87,0.95,0.98,0.99,0.99,1,1,0.99,3450,3450,2760.04,2415,2070,1725,1380,1035,690,567.08,566.51
