,"Crow ""IQ""",,,,,,,,,,,Average voters,,,,,,,,,,
Voters,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%,0%,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
400,0.34,0.34,0.55,0.65,0.71,0.75,0.79,0.81,0.81,0.81,0.81,400,400,326.12,280,240,200,160,120,80.09,65.67,65.69
410,0.34,0.34,0.55,0.65,0.71,0.76,0.79,0.81,0.82,0.82,0.82,410,410,334.14,287,246,205,164,123,82.09,67.34,67.35
420,0.34,0.34,0.56,0.65,0.71,0.76,0.79,0.81,0.82,0.82,0.82,420,420,342.07,294,252,210,168,126,84.08,68.98,69
430,0.34,0.34,0.56,0.66,0.71,0.76,0.8,0.82,0.82,0.82,0.82,430,430,350.02,301,258,215,172,129,86.08,70.66,70.65
440,0.34,0.34,0.56,0.65,0.72,0.76,0.8,0.82,0.83,0.82,0.83,440,440,358.06,308,264,220,176,132,88.07,72.26,72.25
450,0.33,0.34,0.56,0.66,0.72,0.77,0.8,0.82,0.83,0.83,0.83,450,450,365.96,315,270,225,180,135,90.07,73.89,73.93
460,0.34,0.33,0.56,0.66,0.72,0.77,0.8,0.83,0.83,0.83,0.83,460,460,373.95,322,276,230,184,138,92.07,75.6,75.57
470,0.33,0.33,0.56,0.66,0.72,0.77,0.81,0.83,0.83,0.83,0.83,470,470,381.93,329,282,235,188,141,94.07,77.21,77.25
480,0.33,0.33,0.56,0.66,0.73,0.77,0.81,0.83,0.84,0.84,0.83,480,480,389.82,336,288,240,192,144,96.06,78.86,78.85
490,0.33,0.33,0.56,0.66,0.73,0.78,0.81,0.83,0.84,0.84,0.84,490,490,397.77,343,294,245,196,147,98.06,80.46,80.52
500,0.33,0.33,0.57,0.66,0.73,0.78,0.81,0.84,0.84,0.84,0.84,500,500,405.76,350,300,250,200,150,100.06,82.15,82.08
510,0.33,0.33,0.57,0.67,0.73,0.78,0.82,0.84,0.84,0.84,0.84,510,510,413.77,357,306,255,204,153,102.06,83.79,83.71
520,0.32,0.32,0.57,0.67,0.73,0.78,0.82,0.84,0.85,0.84,0.85,520,520,421.68,364,312,260,208,156,104.05,85.41,85.45
530,0.32,0.32,0.57,0.67,0.73,0.79,0.82,0.84,0.85,0.85,0.85,530,530,429.57,371,318,265,212,159,106.05,87.09,87.07
540,0.32,0.32,0.57,0.67,0.74,0.79,0.82,0.84,0.85,0.85,0.85,540,540,437.52,378,324,270,216,162,108.05,88.73,88.76
